epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
62,3007.37,1.33129,1.01925,1.57275,0.80443,0.6962,0.78118,0.46633,1.51417,1.07975,1.75313,0.003961,0.003961,0.003961
63,3056.12,1.33157,1.01726,1.57524,0.80645,0.68911,0.76308,0.44377,1.57972,1.11382,1.77269,0.003862,0.003862,0.003862
64,3103.86,1.32486,1.01539,1.56979,0.8156,0.68713,0.77249,0.45628,1.55344,1.12339,1.76555,0.003763,0.003763,0.003763
65,3151.49,1.31948,1.01256,1.55444,0.78762,0.66341,0.74279,0.42578,1.57912,1.15939,1.7904,0.003664,0.003664,0.003664
66,3198.7,1.31324,1.00811,1.56232,0.81454,0.70759,0.78597,0.47711,1.49287,1.0396,1.71752,0.003565,0.003565,0.003565
67,3248.03,1.31117,0.99693,1.55727,0.79397,0.72229,0.78608,0.46558,1.51523,1.06318,1.72818,0.003466,0.003466,0.003466
68,3295.1,1.30121,0.98181,1.54524,0.80902,0.71251,0.78765,0.47558,1.5102,1.0239,1.73326,0.003367,0.003367,0.003367
69,3342.73,1.29934,0.98156,1.54307,0.81766,0.71135,0.78105,0.47508,1.50485,1.0414,1.72991,0.003268,0.003268,0.003268
70,3390.39,1.30009,0.98181,1.54309,0.82769,0.71768,0.79356,0.48158,1.50337,1.03467,1.72943,0.003169,0.003169,0.003169
71,3438.21,1.28387,0.96868,1.52597,0.81472,0.68968,0.77404,0.46373,1.53146,1.09277,1.74623,0.00307,0.00307,0.00307
72,3485.85,1.27907,0.97464,1.53,0.82732,0.71366,0.79345,0.49268,1.48103,1.02278,1.70551,0.002971,0.002971,0.002971
73,3533.89,1.28045,0.96541,1.53199,0.8347,0.71596,0.7979,0.49491,1.46747,1.01208,1.69337,0.002872,0.002872,0.002872
74,3582.26,1.28711,0.971,1.53554,0.80953,0.72938,0.79931,0.49813,1.45509,1.03451,1.68486,0.002773,0.002773,0.002773
75,3630.91,1.26983,0.95818,1.5167,0.81569,0.71903,0.79681,0.4964,1.46474,1.03389,1.68576,0.002674,0.002674,0.002674
76,3678.44,1.26685,0.94893,1.50817,0.83017,0.70502,0.79079,0.48787,1.47192,1.02257,1.70375,0.002575,0.002575,0.002575
77,3725.97,1.25362,0.94293,1.50825,0.83424,0.70637,0.79166,0.49491,1.46762,1.0094,1.6969,0.002476,0.002476,0.002476
