epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
74,3311.89,1.23255,0.88426,1.24037,0.82949,0.743,0.81216,0.50993,1.40727,0.94449,1.33699,0.002773,0.002773,0.002773
75,3355.12,1.21575,0.87753,1.22552,0.829,0.72593,0.80412,0.50928,1.41149,0.96772,1.33938,0.002674,0.002674,0.002674
76,3395.4,1.21026,0.8681,1.22048,0.8381,0.72842,0.81073,0.516,1.39784,0.93526,1.32501,0.002575,0.002575,0.002575
77,3439.75,1.20273,0.86913,1.22335,0.84945,0.71424,0.80913,0.51657,1.39353,0.93783,1.32823,0.002476,0.002476,0.002476
78,3482.5,1.2112,0.86932,1.2191,0.8453,0.72018,0.80736,0.51869,1.39108,0.95002,1.32287,0.002377,0.002377,0.002377
79,3526.51,1.1983,0.85173,1.21622,0.82717,0.73067,0.80991,0.51607,1.38785,0.92997,1.33005,0.002278,0.002278,0.002278
80,3568.24,1.20159,0.84993,1.21903,0.83178,0.729,0.80436,0.51136,1.39832,0.96264,1.32504,0.002179,0.002179,0.002179
81,3613.95,1.19918,0.85391,1.21428,0.86332,0.7242,0.8182,0.52275,1.39335,0.93089,1.32188,0.00208,0.00208,0.00208
82,3656.65,1.20181,0.85159,1.22096,0.85036,0.73916,0.81837,0.53178,1.35866,0.91819,1.30824,0.001981,0.001981,0.001981
83,3700.35,1.17536,0.83363,1.19983,0.85626,0.72823,0.81276,0.52503,1.3881,0.91928,1.32136,0.001882,0.001882,0.001882
84,3743.17,1.18068,0.83438,1.20444,0.85046,0.74824,0.82265,0.53363,1.36298,0.90984,1.3056,0.001783,0.001783,0.001783
85,3788.1,1.17665,0.83384,1.20752,0.84906,0.74873,0.82117,0.53106,1.37943,0.90368,1.32051,0.001684,0.001684,0.001684
86,3828.98,1.17129,0.82452,1.19958,0.85718,0.73015,0.81351,0.52812,1.37659,0.9264,1.3138,0.001585,0.001585,0.001585
87,3871.32,1.16125,0.80958,1.19094,0.84794,0.7501,0.82447,0.53931,1.35441,0.88382,1.31194,0.001486,0.001486,0.001486
88,3914.6,1.16084,0.8259,1.20203,0.85399,0.7437,0.82261,0.53868,1.35232,0.90285,1.30693,0.001387,0.001387,0.001387
89,3966.37,1.1473,0.80723,1.19166,0.85291,0.73619,0.82078,0.53881,1.34514,0.90101,1.29575,0.001288,0.001288,0.001288
90,4011.14,1.14252,0.80036,1.18948,0.8622,0.74764,0.82699,0.5423,1.33663,0.8812,1.29312,0.001189,0.001189,0.001189
91,4059.29,1.12948,0.72623,1.1682,0.85132,0.73575,0.81721,0.53118,1.36219,0.89947,1.30541,0.00109,0.00109,0.00109
92,4101.84,1.103,0.69792,1.16015,0.87049,0.74242,0.82624,0.5452,1.32336,0.89235,1.2877,0.000991,0.000991,0.000991
93,4145.97,1.08173,0.68311,1.15175,0.85487,0.75297,0.82554,0.54621,1.33213,0.88983,1.29441,0.000892,0.000892,0.000892
94,4186,1.08163,0.67348,1.14514,0.85953,0.75341,0.83127,0.55237,1.31914,0.87291,1.28684,0.000793,0.000793,0.000793
95,4229.5,1.07512,0.67261,1.14169,0.86901,0.74722,0.82732,0.55316,1.30884,0.87107,1.28608,0.000694,0.000694,0.000694
96,4270.96,1.06153,0.66115,1.13662,0.87137,0.75393,0.83057,0.55636,1.30569,0.86705,1.28143,0.000595,0.000595,0.000595
97,4312.21,1.05952,0.6569,1.13563,0.8722,0.75266,0.83316,0.55997,1.30298,0.86229,1.28534,0.000496,0.000496,0.000496
98,4355.04,1.05079,0.6493,1.13158,0.87583,0.74673,0.83032,0.55905,1.30299,0.86702,1.28654,0.000397,0.000397,0.000397
99,4396.6,1.04787,0.64751,1.13128,0.87235,0.75163,0.82816,0.55862,1.30275,0.86656,1.2889,0.000298,0.000298,0.000298
100,4440.49,1.04226,0.64446,1.1281,0.87207,0.75569,0.8312,0.55866,1.29934,0.86737,1.28347,0.000199,0.000199,0.000199
